a_cmd,throttle_cmd,dt_mean,v_mean,R_meas_circle,R_pred_model,rmse_circle_m,max_abs_res_m,sign_check
-1.0,1.0,0.05,5.231956492124932,3.110047377394136,3.0,0.4138180527581613,0.9922656578858948,1.0
0.2,1.0,0.05,5.500669211837602,193.38282698262927,15.55023688697068,0.0,0.0,-1.0
0.4,1.0,0.05,5.400924880381575,142.5909602356884,7.77511844348534,2.0097183471152322e-14,2.842170943040401e-14,1.0
0.6,1.0,0.05,5.305449423423357,111.88847353164624,5.183412295656894,0.0,0.0,1.0
0.8,1.0,0.05,5.2188783590762355,96.00235570017094,3.88755922174267,0.0,0.0,1.0
